PC,FCI,GES,LiNGAM
0.855572256,0.573557703,0.830242285,0.663726322
0.869263907,0.633666841,0.805283902,0.720363108
0.898712929,0.665357197,0.783544132,0.6855782
0.905755132,0.774270135,0.765832511,0.695264283
0.89538798,0.762032967,0.775215174,0.546717018
0.844367679,0.596913267,0.749136541,0.536629608
0.846480034,0.721882856,0.89918211,0.488489612
0.887532279,0.580656007,0.762255049,0.562708205
0.87437607,0.58745687,0.745856434,0.661169702
0.860754321,0.472516302,0.748870608,0.565314696
0.892560568,0.768148836,0.804516185,0.637685258
0.918284917,0.754851328,0.755235796,0.732164091
0.871318511,0.6347454,0.741551624,0.608410008
0.866847826,0.592520193,0.85463999,0.701978565
0.917663277,0.715878517,0.79045331,0.726880623
0.876190875,0.708921703,0.723842459,0.464245101
0.857125604,0.625970594,0.773320602,0.704932096
0.877613778,0.769165008,0.77854257,0.694574352
0.874828779,0.617104352,0.860775474,0.729367345
0.857130558,0.630322605,0.778285861,0.645962355
0.928439933,0.665155179,0.829482425,0.721153033
0.89836808,0.752336997,0.794849918,0.705373572
0.897660819,0.76628663,0.80327379,0.52885889
0.846157115,0.631260043,0.768168841,0.50590164
0.830201979,0.658020721,0.874055138,0.445775609
0.876756979,0.587433658,0.729095356,0.558467233
0.891341452,0.640084887,0.790530291,0.725933825
0.876299708,0.510305264,0.744448838,0.535944997
0.883500418,0.780029762,0.796507901,0.647131788
0.943764525,0.772312451,0.747340479,0.718689245
0.852496706,0.59398365,0.721849912,0.599944211
0.843459313,0.546757278,0.792346849,0.656116932
0.937889984,0.734577481,0.814624325,0.687350708
0.84823296,0.663670737,0.667273358,0.502708501
0.847697864,0.521781797,0.781199597,0.671205041
0.859737502,0.681361408,0.779863943,0.620983868
0.814288624,0.555147947,0.80149702,0.680878134
0.864825648,0.627060867,0.819324013,0.619651341
0.928174603,0.732682994,0.836583556,0.706453987
0.904646081,0.742392889,0.813480164,0.675246718
0.877621259,0.731978022,0.797269867,0.52068075
0.843086609,0.589177721,0.762572848,0.543213638
0.820747067,0.597693397,0.877709278,0.451602333
0.883930252,0.574370052,0.756766387,0.620665334
0.886164723,0.585011126,0.801762753,0.748564685
0.88051419,0.462504305,0.79512356,0.627282629
0.883247513,0.70540926,0.7420653,0.576932895
0.89859763,0.637359675,0.716278974,0.629016907
0.859518592,0.632939292,0.739275527,0.589673464
0.858403497,0.580017916,0.796988878,0.577279393
0.880839872,0.604189039,0.788967978,0.675507765
0.833511782,0.688183574,0.708068785,0.431071081
0.866725517,0.61175507,0.816836212,0.742750097
0.836093515,0.705599727,0.777318255,0.692474135
0.837371562,0.543982284,0.829706282,0.64098564
0.879389916,0.618172909,0.855937734,0.676661772
0.920997537,0.696660836,0.837952457,0.698574957
0.893544718,0.76380685,0.818354035,0.671358801
0.872183645,0.734095133,0.787331363,0.511816897
0.89294537,0.606423773,0.822107665,0.560810812
0.842110013,0.651656719,0.857458707,0.463913044
0.90743495,0.617161481,0.75605926,0.627317525
0.8673433,0.515556903,0.763010802,0.696624935
0.89754757,0.528804326,0.755838812,0.606094747
0.845048227,0.703516888,0.743514144,0.580818701
0.912915243,0.763257441,0.75022109,0.714029588
0.844401144,0.582421139,0.750137061,0.570199158
0.869042459,0.549235405,0.854976339,0.649192093
0.879475674,0.59349374,0.784307207,0.640236933
0.852261905,0.595895012,0.763329624,0.496451647
0.870964145,0.61926511,0.804888734,0.718009555
0.857045351,0.721814985,0.764983463,0.6942976
0.804446399,0.56372044,0.813163042,0.559755663
0.862891602,0.633323528,0.802473232,0.694545161
0.907592795,0.702698346,0.769409376,0.655586256
0.891276089,0.717875778,0.794647483,0.677124949
0.871752666,0.798092186,0.793438868,0.50492141
